ID,case,time
embedding_generation,67__TheManagerPalathingalAMLPSchoolParappanangadiVsSethumadhavanPK,0.7176768779754639
embedding_generation,68__SalesTaxOfficerVsKIAbraham,1.9537618160247803
embedding_generation,69__NationalInsuranceCoLtdVsAniLamba,0.6247422695159912
embedding_generation,70__MSPRCateringCoVsOilAndNaturalGasCorpnLtd,0.9606521129608154
embedding_generation,71__BhagwanBuxSinghAndAnotherVsStateOfUttarPradesh,0.48122477531433105
embedding_generation,72__EasternCoalfieldsVsJoscon,0.7057969570159912
embedding_generation,73__ShadiRamRaghubirSharanVsNationalInsuranceCompanyLimited,0.4496781826019287
embedding_generation,74__TripuraGoodsTptAssonVsCommrOfTaxes,6.000319957733154
embedding_generation,75__VinodKumarDhallVsDharampalDhallDeceasedThroughHisLrs,2.7700021266937256
embedding_generation,76__TheIncomeTaxOfficerBangaloreVsKNGuruswamy,3.0659401416778564
embedding_generation,77__MrsAnitaMalhotraVsApparelExportPromotionCouncilAmpAnother,2.522617816925049
embedding_generation,78__HariSinghAndOthersVsStateOfUttarPradeshAndOthers,1.0682282447814941
embedding_generation,79__HemendraPrasadBaruahVsTheCollectorOfSibsagarAssam,0.22460222244262695
embedding_generation,80__DelhiDevelopmentAuthorityVsRajanSoodAmpOrs,2.5677146911621094
embedding_generation,81__SambhuKarVsStateOfWB,0.36080002784729004
embedding_generation,82__UnionOfIndiaAndOrsVsMSWoodPapersLtdAndAnr,1.671381950378418
embedding_generation,83__LAmpTFinanceLtdVsPramodKumarRanaAmpAnr,1.2274341583251953
embedding_generation,84__SalesTaxOfficerAmpAnrVsSudarsanamIyengarAmpSons,1.2075598239898682
embedding_generation,85__StateOfUPVsSayedAbdulJalil,1.7315070629119873
embedding_generation,86__AdishwarJainVsUnionOfIndia,3.1887052059173584
embedding_generation,87__BangaloreDevelopmentAuthorityVsNNanjappaAndAnother,1.6941230297088623
embedding_generation,88__ChiefConservatorOfForestVsJagannathMarutiKondhare,3.5147340297698975
embedding_generation,89__NandKishoreVsRamKishanAmpAnr,2.1517138481140137
embedding_generation,90__LallaRamVsManagementOfDCMChemicalWorksLimitedAndAnother,3.268735885620117
embedding_generation,91__OrientalInsuranceCoLtdVsMSLakshmishaAndOthers,0.14449191093444824
embedding_generation,92__MPRamaniVsStateOfKeralaAmpAnr,0.9039809703826904
embedding_generation,93__CommissionerOfCustomsPreventiveMumbaiVsZenitLtd,0.7291576862335205
embedding_generation,94__SouthEasternCoalfieldsLtdVsPremKumarSharma,1.202958106994629
embedding_generation,95__RanbirAndOrsVsStateOfPunjab,2.0708649158477783
embedding_generation,96__IndustrialInvestmentBankOfIndiaLtdVsMSJainCablesPvtLtdAmpOthers,2.1865408420562744
embedding_generation,97__AbdulwahabAbdulmajidBalochVsStateOfGujarat,4.136916875839233
embedding_generation,98__AndhraPradeshStateRoadTransportCorporationVsIncomeTaxOfficerBIBWardHyderabadAndOrs,4.635280132293701
