,importance,scaled_importance
"Dr D han an j aya Y Chand r ach ud , J . 1 . Leave granted . 2 . These appeals arise from a judgment of a Division Bench of the High Court of Cal cut ta dated 9 September 2013 , by which it affirmed the judgment of a Single Judge in a Letters Patent Appeal . 3 . The issue is whether the respondent is entitled to employment by the appellant in lieu of the acquisition of lands . Eastern Co alf ield s Limited is a subsidiary of Coal India Limited and is a government company within the meaning of Section 6 17 of the er st while Companies Act 1956 . An expansion scheme was proposed for the S one pur Baz ari Open Cast Project which is located in Ran igan j Co alf ield in West Bengal . A meeting took place between the representatives of the Company , persons whose lands were acquired , and the state government . In pursu ance of the discussions , a tri part ite agreement appears to have been arrived at , under which a person whose lands had been acquired would be entitled to employment by Eastern Co alf ield s if the acquired land - holding was at least 2 acres . Though the Tri part ite agreement has not been placed on the record , the plead ings and submissions before the High Court and this court have proceeded on this position being undis puted . The authorities on 8 November 1991 , prepared a rehabilitation list of thirty - seven eligible candidates from whom more than 2 acres of land was acquired in pursu ance of what is described as a one time package deal / tri part ite decision . The name of the respondent was not included in this list . 4 . The respondent founded his claim for employment on a certificate issued by the Land Acquisition Collector on 14 January 1993 specifying the extent of land of the respondent . The certificate , inter al ia , specified that the land held by the respondent No . 1 in his own name was comprised in two plots , namely , plot No 1945 ( ad me asuring 0 . 09 5 acres ) and plot No 1948 ( ad me asuring 0 . 205 acres ). Thus the land holding of the respondent in his own name was 0 . 300 acres . However , Collect ors certificate contained a reference to the names of certain other persons , including relatives of the respondent , who had executed affidav its in favour of the respondent . After taking those affidav its into consideration , the holding of the respondent was computed at 2 . 01 acres . However , as stated earlier , it is evident from the Collect ors certificate that the actual holding of the respondent in his own name was in respect of plot Nos 1945 and 1948 ad me asuring 0 . 300 acres . 5 . The Respond ents writ petition seeking employment in view of the rehabilitation employment scheme was disposed on 14 October 1996 by directing the appellant to consider the claim of the respondent . The Personnel Manager of the S one pur Baz ari Area rejected the claim of the Respond ent on the ground that he only held 2 . 01 acres of land , which was lesser than the 2 . 04 acres of minimum holding of acquired land required under the rehabilitation employment scheme . This led to the institution of a writ petition before the High Court . An affidavit in opposition was filed to the writ petition on behalf of the appellant . In the affidavit , it was categor ically stated that : The land of the petitioner no . 1 was in possession of 0 . 205 acres as per the Land Acquisition Certificate issued by the Land Acquisition Collector , B urd wan on 14 th January , 1993 . The eligibility criteria for consideration of employment is that each of the land lo oser must have 2 acres of land but in the instant case admittedly writ petitioner possessed 0 . 205 acres of land which is far less than the eligibility criteria . It will be evident from the annex ure P - 5 to the writ petition that the name of the petitioner appeared at SI . No . 40 in the rehabilitation list and such list was not meant for providing employment as per eligibility criteria . The petitioner cannot claim any benefit and / or advantage for employment on the basis of the list being annex ure P - 5 to the writ petition . In this connection a copy of the certificate so issued by the Land Acquisition Collector is annexed here to and marked with the letter R - 1 . Moreover , it was also submitted that the lands in question had been acquired in 1990 and the petition before the High Court had been instituted after a lapse of over fifteen years . Once again in paragraph 12 of the affidavit , it was stated that : With regard to paragraph 9 of the said Petition , it will be evident from the Land Acquisition Certificate R - 1 issued by the Acquisition Collector , B urd wan on 14 th January , 1993 that the quantum of land possessed by the petitioner was 0 . 205 acres only which is far less than the eligible criteria . It will be evident from the annex ure P - 5 to the writ petition that the name of the petitioner appeared at SI . No . 40 in the rehabilitation package which was not means for providing employment as per eligible criteria . In this connection , I say that in spite of repeated opportunities given to the petition ers to produce the records pertaining to the claim but the petition ers have failed and neglected to submit the same . In this connection , I repeat and reiterate the statements made in the preceding paragraphs . The counter affidavit also set out that several opportunities were granted to the respondent to appear before the authorities and substant iate his claim , in spite of which no documents were produced by him . 6 . The learned Single Judge allowed the claim of the respondent by a judgment dated 30 April 2013 . The learned Single Judge proceeded on the basis that it was an admitted case that the land belonging to the respondent ad me asuring about 2 acres was acquired for the purposes of the project . In this regard , the Single Judge placed reliance on the order passed by the Personnel Manager . On this basis , the Single Judge came to the conclusion that the respondent was in possession of land in excess of the minimum required ( 2 acres ) and was , therefore , entitled to employment . On appeal , the order of the Single Judge has been affirmed by the Division Bench by a judgment dated 9 September 2013 . 7 . We have heard Mr Ka ust ub h Sh uk la , learned counsel appearing on behalf of the appellant and Mr Pr at ik R Bomb arde , learned counsel appearing on behalf of the respondent - claim ant .",-0.4045541048887573,-1.5709478282524056
"___8 . Before this Court , it is not in dispute that under the tri part ite agreement , a claimant would be eligible for the grant of employment if the land acquired for the purposes of the project is at le ast 2 . 0 acres . In the present case , the only material on the record on which reliance has been placed by the claimant is the report of the Land Acquisition Collector . Ex fac ie , the report indicates that the total holding of 2 . 01 acres which has been computed for the respondent includes lands of several relatives and others , who are alleged to have executed affidav its in his favour .",-0.5459644564078843,-7.0323511968102554
"For convenience of reference , the certificate of the Land Acquisition Collector , B urd wan dated 14 January 1993 , is extracted below : An adi Nath Ban er jee S / o Mad an Moh an of Jam sole Chart",-0.7496766840773141,-34.328017342252195
"___9 . There is merit in the submission which has been urged on behalf of the appellant that there was no documentary evidence to indicate that the respondent had title to land in excess of two acres . No documentary material was produced , not even revenue records . The holding of relatives and others cannot be included in the holding of the respondent merely on the basis of self - serving affidav its which would not amount to a convey ance of title . 10 . There is no doubt that in compensation schemes , the family is considered as the unit . Though the tri part ite agreement and the rehabilitation employment scheme circular have not been placed on the record , it is evident from the minutes of the meeting on 14 November 1990 that the family is considered as a unit under the Rehab ilitation employment scheme as well .",0.9284195132320896,100.0
"It was recorded : With a view to final izing the list of land loser families who would be entitled to jobs / sub s istence allowance envis aged in G . C . No . 49 019 of the Department of Co 2 . I , Government of India , dated 31 st May 1990 ( a copy enclosed ), it was felt that the list of land losers prepared above by L . A . Officials would be placed before a Screen ing Committee . ( emphasis supplied ) 11 . Under the Right to Fair Compensation and Transparency in Land Acquisition , Rehab ilitation and Res ettlement Act , 2013 , compensation and rehabilitation is provided to family units . For example , the Act refers to affected families for the preparation of the rehabilitation and resettlement scheme ( section 16 and second schedule of the Act ), The definition of the phrase family in Section 3 ( m ) is as follows : ( m ) ? family includes a person , his or her spouse , minor children , minor brothers and minor sisters dependent on him : Provided that wid ows , divorce es and women deserted by families shall be considered separate families . Explan ation .— An adult of either gender with or without spouse or children or depend ents shall be considered as a separate family for the purposes of this Act ; Many other social welfare provisions under legislative enact ments and schemes such as the Employees Prov ident Fund Scheme , 1952 ( Section 2 ( g ) of the Employees Prov ident Fund Scheme , 1952 .) , Payment of Gr at uity Act , 1972 ( Section 2 ( f ) of the Payment of Gr at uity Act , 1972 .) define family to include wife , children , and dependent families .",0.5617703692560472,8.110970907367395
"___12 . The principle which can be ded uced is that relatives who are not dependent on the claimant will constitute a separate family unit for the purposes of compensation and rehabilitation . The self - serving affidav its executed by the father , brother and nephew s of the respondent cannot be taken as the basis of determining whether the holding of the respondent was in excess of the threshold of two acres . Such affidav its create no interest in the land particularly when the persons who executed them do not fall within the am bit of the phrase family . 13 . The Single judge and the Division bench of the High Court have proceeded on the basis that 2 . 01 acres of land was acquired from the respondent relying on the certificate of the Land Acquisition Collector and the view of the Personnel Manager . However , as stated above , an affidavit in favour of the respondent does not transfer rights in the property . The view of the Personnel Manager is ex fac ie contrary to the tri part ite agreement , and the High Court ought not to have relied on it . 14 . In this view of the matter , both the learned Single Judge and the Division Bench were in error in directing the appellant to grant employment to the respondent . The respondent was given sufficient opportunities to establish that his holding was in excess of 2 acres . Having failed to establish that his holding was in excess of 2 acres , the respondent was not entitled to employment .",-0.6673507725607226,-19.188876118562572
